LineaDeCredito,CiudadDeResidencia,Estrato,UstedEsArrendadorOPropietario,ValorFactura,UstedTieneAlgunaDiscapacidad,Edad,PersonasACargo,Genero,IngresoPrincipalMensual,Viabilidad,ValorCupoAprobado
25,66594,1,1,11.91992938849441,2,23,0,1,1800000,1,14.866332532446323
8013,5030,1,1,11.092290879929589,2,38,1,1,1700000,4,13.592368256649284
8013,5001,1,2,12.746281327940368,2,31,1,2,1600000,4,0.0
8013,5837,1,2,12.745185389506354,2,29,1,2,2000000,4,0.0
8013,5001,3,2,12.33336587118755,2,43,0,2,1500000,4,13.815511557963774
642,54001,2,2,11.820417517632333,2,59,1,2,2500000,1,14.062371417145494
8082,5001,2,2,11.695255355062795,2,57,0,1,4000000,4,0.0
8013,5001,2,2,13.081543466215237,2,60,0,2,2300000,4,0.0
8013,5079,1,1,11.156264806643742,2,27,1,1,1700000,1,14.866332532446323
8082,5266,3,2,13.248116346376765,2,44,1,1,2200000,1,14.062371417145494
8013,5001,3,2,14.127198177762857,2,51,0,1,2400000,1,14.866332532446323
699,68001,1,2,11.66407450151316,2,61,0,2,3000000,1,14.062371417145494
8082,5001,2,2,12.359793232880921,2,62,0,2,800000,4,0.0
8013,5001,2,2,11.69660443339735,2,41,0,1,1600000,1,14.866332532446323
8082,5001,1,2,11.943330309602674,2,30,2,1,1500000,1,14.978661680269907
8013,5001,2,1,11.813037464800539,2,29,1,1,2200000,4,0.0
8013,5088,3,1,11.51293546492023,2,55,0,1,1800000,1,14.866332532446323
8013,5360,1,1,11.44481791575555,2,59,0,1,2500000,1,14.866332532446323
8013,5001,3,1,12.810342163217326,2,31,1,1,2000000,1,14.866332532446323
8013,5250,1,2,9.210440366976517,2,26,1,2,2500000,1,14.866332532446323
8013,5001,2,1,11.918397239722838,2,27,2,2,1800000,1,14.866332532446323
8013,5837,1,2,9.90353755128617,2,29,0,2,2400000,1,14.866332532446323
8013,5001,2,2,12.122696471358964,2,20,1,2,1400000,4,0.0
8013,5585,2,2,11.168701259326799,2,52,1,2,1850000,1,14.866332532446323
8013,5001,2,2,12.223691517618628,2,26,0,1,2300000,4,0.0
8082,5001,3,2,11.695255355062795,2,63,0,2,1400000,4,0.0
8013,5861,2,1,10.803181313502913,2,28,1,2,2100000,4,0.0
8013,5001,2,2,13.248387913958203,2,33,2,2,2000000,4,0.0
8013,5001,2,2,10.308985993422082,2,30,1,1,1590000,1,14.866332532446323
101,63130,1,2,14.508658238524095,2,59,0,2,1800000,1,14.978661680269907
8013,5250,1,2,11.51293546492023,2,35,2,2,1400000,1,14.077875591662238
