LineaDeCredito,CiudadDeResidencia,Estrato,UstedEsArrendadorOPropietario,ValorFactura,UstedTieneAlgunaDiscapacidad,Edad,PersonasACargo,Genero,IngresoPrincipalMensual,Viabilidad,ValorCupoAprobado
8013,5001,1,2,69335,2,24,0,2,1460000,4,1300000
25,66170,3,1,113303,2,21,0,2,1300000,4,0
699,68547,2,1,24865,2,29,0,2,2200000,4,0
8082,5360,2,1,242342,2,20,0,2,1500000,4,0
699,68575,1,1,100410,2,32,1,2,2500000,4,0
699,68001,2,1,80384,2,26,0,1,2200000,1,1400000
8013,5001,2,2,129219,2,34,0,1,1500000,4,0
8013,5001,1,1,366132,2,39,2,2,1400000,4,0
699,68547,3,1,103449,2,36,0,1,2500000,1,1280000
8082,5001,5,1,400000,2,60,0,2,2400000,4,0
699,68307,4,1,201428,2,40,0,1,8000000,1,1280000
